churn_event_id,account_id,churn_date,reason_code,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,is_reactivation,feedback_text
C-f72425,A-32fb14,8/19/2023,budget,0,FALSE,FALSE,FALSE,switched to competitor
C-0e273d,A-4e0e85,3/14/2024,pricing,0,FALSE,FALSE,FALSE,
C-345bbc,A-922109,8/3/2024,support,0,TRUE,TRUE,FALSE,too expensive
C-555f55,A-794a0b,9/9/2024,budget,0,FALSE,TRUE,FALSE,switched to competitor
C-a26ce8,A-5a184f,3/19/2024,support,0,FALSE,TRUE,FALSE,missing features
C-86a446,A-ccb686,6/22/2024,budget,0,TRUE,FALSE,FALSE,
C-10ce15,A-029f69,12/14/2024,competitor,32.73,FALSE,FALSE,FALSE,too expensive
C-2698c2,A-9208f0,11/18/2023,features,0,FALSE,FALSE,FALSE,switched to competitor
C-48906a,A-5a92e7,11/11/2024,budget,0,TRUE,FALSE,FALSE,missing features
C-4f7342,A-f45426,11/13/2024,pricing,0,FALSE,FALSE,FALSE,switched to competitor
C-23b1d0,A-2446e3,7/29/2024,unknown,47.06,FALSE,FALSE,FALSE,
C-7f909a,A-d535f6,11/26/2024,features,0,FALSE,FALSE,FALSE,switched to competitor
C-f208d4,A-6da850,10/25/2024,competitor,0,FALSE,FALSE,FALSE,missing features
C-acbc2b,A-249769,12/16/2024,budget,0,FALSE,FALSE,FALSE,
C-859615,A-8e47ca,6/1/2024,competitor,0,FALSE,FALSE,FALSE,missing features
C-035985,A-6da850,1/15/2024,pricing,0,FALSE,FALSE,FALSE,too expensive
C-7cace4,A-484819,12/29/2023,support,0,FALSE,FALSE,FALSE,
C-06a2e6,A-bbc346,10/31/2024,competitor,0,TRUE,FALSE,FALSE,too expensive
C-eb9d5e,A-eb1312,9/28/2024,unknown,0,FALSE,FALSE,FALSE,switched to competitor
C-a45909,A-bf7919,12/6/2024,support,0,FALSE,FALSE,FALSE,
C-7f85f4,A-bece89,7/27/2024,unknown,53.61,FALSE,FALSE,FALSE,switched to competitor
C-234aa7,A-832ec2,12/19/2023,unknown,0,FALSE,FALSE,FALSE,too expensive
C-0ba0a0,A-22d9d2,10/17/2024,pricing,0,FALSE,FALSE,FALSE,
C-d05e42,A-32728c,6/22/2024,support,0,FALSE,FALSE,FALSE,
C-8d3540,A-37f969,12/12/2024,competitor,50.41,FALSE,FALSE,FALSE,
C-bedd8c,A-1b9609,11/16/2024,unknown,0,FALSE,FALSE,FALSE,
C-1cea52,A-310452,12/25/2024,budget,0,TRUE,FALSE,FALSE,
C-1e0b1a,A-016043,8/11/2024,competitor,84.75,FALSE,FALSE,FALSE,switched to competitor
C-c4e7a7,A-80eeb6,10/19/2023,features,0,FALSE,FALSE,FALSE,missing features
C-915973,A-7e0a10,9/26/2024,budget,0,FALSE,FALSE,FALSE,missing features
C-a403fc,A-6a7c9d,11/21/2024,support,0,FALSE,FALSE,FALSE,too expensive
C-025044,A-098560,9/4/2024,pricing,0,FALSE,FALSE,FALSE,too expensive
C-a54597,A-9f9299,3/24/2024,features,0,FALSE,FALSE,FALSE,missing features
C-7ab794,A-ef84cf,11/20/2024,support,0,FALSE,FALSE,FALSE,too expensive
C-7cd070,A-13466a,4/18/2024,pricing,6.51,FALSE,TRUE,TRUE,switched to competitor
C-1727c8,A-65aeb5,2/27/2024,pricing,0,FALSE,FALSE,FALSE,
C-bb9db4,A-659280,11/22/2024,pricing,27.75,FALSE,FALSE,FALSE,switched to competitor
C-0a0bf7,A-d49cc5,4/12/2024,competitor,0,FALSE,FALSE,FALSE,missing features
C-64ba8a,A-cc8c8f,9/12/2024,budget,0,TRUE,FALSE,FALSE,missing features
C-fab429,A-180abf,9/12/2024,support,0,FALSE,FALSE,FALSE,
C-872bcf,A-6da850,9/7/2024,budget,0,FALSE,FALSE,FALSE,switched to competitor
C-480232,A-31ab9a,9/23/2024,competitor,0,FALSE,FALSE,TRUE,too expensive
C-108b2a,A-e08cd3,9/21/2024,competitor,0,FALSE,FALSE,FALSE,switched to competitor
C-775d4e,A-0651a4,12/25/2024,support,0,FALSE,FALSE,FALSE,too expensive
C-043665,A-b2225d,6/27/2024,budget,0,FALSE,FALSE,TRUE,
C-2dbe71,A-c222ab,6/14/2024,budget,4.52,FALSE,FALSE,FALSE,too expensive
C-b60cf0,A-a6d261,3/10/2024,unknown,99.94,TRUE,FALSE,FALSE,missing features
C-f24343,A-425e76,9/3/2023,budget,0,FALSE,FALSE,TRUE,missing features
C-a1d45c,A-c222ab,6/10/2024,features,27.62,TRUE,FALSE,FALSE,missing features
C-9d36da,A-bcf664,8/17/2024,competitor,0,FALSE,FALSE,TRUE,
C-b4b58e,A-96e141,9/22/2024,budget,0,FALSE,FALSE,FALSE,too expensive
C-5cd282,A-df1e44,11/20/2024,budget,0,FALSE,FALSE,FALSE,missing features
C-95f56e,A-7f29a7,10/9/2024,unknown,23.97,TRUE,FALSE,FALSE,switched to competitor
C-bd5b55,A-b07b56,12/24/2024,budget,0,FALSE,FALSE,FALSE,switched to competitor
C-b8127e,A-d792a6,8/13/2024,support,0,FALSE,FALSE,FALSE,missing features
C-8153b7,A-7cfe77,12/19/2024,features,0,FALSE,TRUE,FALSE,missing features
C-b6b828,A-69fad4,6/17/2024,support,0,FALSE,FALSE,FALSE,
C-a666a4,A-4bfa33,12/28/2024,unknown,7.26,TRUE,FALSE,FALSE,switched to competitor
C-72d074,A-cc1d8d,12/17/2024,features,0,FALSE,FALSE,FALSE,too expensive
C-ced436,A-7f4db3,3/21/2023,support,0,TRUE,FALSE,FALSE,missing features
C-2cccb0,A-692f18,12/23/2024,support,0,TRUE,FALSE,FALSE,switched to competitor
C-b08dda,A-7a0d69,7/9/2024,features,28.95,FALSE,FALSE,FALSE,
C-66d447,A-fda07f,9/13/2024,support,17.34,FALSE,FALSE,FALSE,missing features
C-860574,A-4e44e8,10/11/2024,budget,0,FALSE,FALSE,TRUE,switched to competitor
C-a4f797,A-cd458b,11/7/2024,budget,0,FALSE,FALSE,FALSE,switched to competitor
C-4dfeb8,A-56962b,7/27/2024,unknown,45.83,FALSE,FALSE,FALSE,switched to competitor
C-d3449f,A-2bc93d,8/10/2023,pricing,0,FALSE,FALSE,FALSE,missing features
C-1a5a14,A-104f1a,9/6/2024,support,0,FALSE,FALSE,FALSE,too expensive
C-6c63bc,A-2e3bad,3/30/2024,features,0,FALSE,FALSE,FALSE,missing features
C-1f5828,A-2edab2,12/21/2023,unknown,168.73,FALSE,FALSE,FALSE,switched to competitor
C-8203f3,A-3be56b,6/20/2024,pricing,0,FALSE,FALSE,FALSE,switched to competitor
C-f518d9,A-6e08f3,2/10/2024,competitor,0,FALSE,FALSE,TRUE,
C-974322,A-712533,7/18/2024,unknown,0,TRUE,FALSE,FALSE,missing features
C-6b610a,A-df10db,7/12/2024,competitor,0,FALSE,FALSE,FALSE,missing features
C-61ced5,A-acb7f7,3/21/2024,competitor,0,TRUE,FALSE,FALSE,missing features
C-bb8317,A-533452,11/19/2024,features,0,FALSE,FALSE,FALSE,
C-576ecc,A-993085,1/21/2024,features,0,FALSE,FALSE,FALSE,
C-2608a3,A-bf7919,12/17/2024,features,0,FALSE,TRUE,FALSE,too expensive
C-30462f,A-bb1486,11/21/2024,budget,0,FALSE,FALSE,FALSE,switched to competitor
C-bc6f48,A-eafc6e,7/31/2023,pricing,0,FALSE,FALSE,FALSE,
C-8052a7,A-faa28c,8/20/2024,features,0,FALSE,FALSE,FALSE,
C-3b399f,A-7dacce,12/8/2024,features,0,TRUE,FALSE,FALSE,
C-a761a8,A-50bb9f,9/12/2024,unknown,0,FALSE,TRUE,TRUE,too expensive
C-192e1d,A-716841,11/13/2024,unknown,0,FALSE,FALSE,FALSE,too expensive
C-494a16,A-5a184f,9/11/2024,support,0,FALSE,FALSE,FALSE,switched to competitor
C-3db212,A-e40f45,11/9/2024,budget,101.23,FALSE,FALSE,FALSE,missing features
C-47cdaa,A-9affe6,1/12/2024,features,83.06,FALSE,FALSE,FALSE,missing features
C-ac853d,A-0354fe,11/26/2024,support,0,FALSE,TRUE,FALSE,switched to competitor
C-a24d30,A-f1f639,4/7/2024,budget,0,FALSE,FALSE,FALSE,
C-23a031,A-5247b3,10/16/2024,pricing,0,FALSE,FALSE,FALSE,
C-178070,A-337bc1,10/21/2023,support,0,FALSE,FALSE,FALSE,too expensive
C-70de89,A-039727,12/22/2024,pricing,46.49,FALSE,FALSE,FALSE,switched to competitor
C-49de12,A-5c9849,11/13/2024,unknown,0,FALSE,TRUE,FALSE,too expensive
C-97ab4b,A-82d8a6,12/29/2024,features,0,FALSE,FALSE,FALSE,switched to competitor
C-23df1e,A-18793f,12/30/2024,support,25.41,TRUE,FALSE,FALSE,
C-1b0bb3,A-81edc3,9/21/2024,pricing,10.91,FALSE,FALSE,FALSE,too expensive
C-48c0c8,A-53f4e3,12/6/2024,competitor,0,FALSE,TRUE,TRUE,too expensive
C-eaa652,A-1619f8,6/3/2024,competitor,0,TRUE,FALSE,FALSE,missing features
C-75e17f,A-ed510f,5/5/2023,budget,0,FALSE,FALSE,FALSE,too expensive
C-3dbe46,A-76fa4d,11/26/2024,unknown,1.55,FALSE,FALSE,FALSE,too expensive
C-4d517f,A-13466a,11/18/2023,support,0,FALSE,FALSE,FALSE,switched to competitor
C-50dbff,A-31ab9a,8/9/2024,budget,0,FALSE,FALSE,FALSE,switched to competitor
C-2d03fc,A-e43bf7,6/24/2023,pricing,0,FALSE,FALSE,FALSE,missing features
C-8bf15d,A-20736a,3/19/2024,competitor,64.98,FALSE,FALSE,FALSE,too expensive
C-c6998d,A-956988,12/8/2024,budget,0,TRUE,FALSE,FALSE,missing features
C-f8d15f,A-c9bb3e,10/3/2024,unknown,0,FALSE,FALSE,FALSE,
C-8eba65,A-dcc3f1,10/10/2024,features,0,FALSE,FALSE,FALSE,switched to competitor
C-a1253e,A-462d45,5/17/2024,competitor,0,FALSE,FALSE,FALSE,missing features
C-1e4b49,A-e5d6ab,4/24/2023,features,0,FALSE,FALSE,FALSE,switched to competitor
C-354790,A-37f969,2/12/2024,pricing,0,FALSE,FALSE,FALSE,missing features
C-b5bb09,A-0a62f5,9/27/2024,pricing,90.9,FALSE,FALSE,FALSE,switched to competitor
C-eb8f3d,A-0be015,12/13/2024,unknown,74.68,FALSE,FALSE,FALSE,too expensive
C-76793b,A-e888d1,9/24/2023,support,0,FALSE,FALSE,FALSE,missing features
C-033d73,A-ffc04f,8/3/2024,unknown,0,FALSE,FALSE,FALSE,
C-2b7d9b,A-180abf,3/9/2024,support,0,FALSE,TRUE,FALSE,
C-6e6bcf,A-7c6b6b,12/9/2024,budget,0,FALSE,FALSE,FALSE,too expensive
C-e26b7f,A-781cc0,12/9/2024,budget,0,TRUE,FALSE,FALSE,too expensive
C-626a5c,A-e19ff6,4/18/2024,unknown,0,FALSE,FALSE,FALSE,missing features
C-fd2fe4,A-78f02b,12/9/2024,budget,0,FALSE,FALSE,FALSE,too expensive
C-049f10,A-271f46,3/4/2023,support,0,FALSE,FALSE,FALSE,
C-57871b,A-6a4e2d,7/19/2024,budget,0,FALSE,FALSE,FALSE,
C-fafb31,A-5a92e7,6/18/2024,features,0,TRUE,FALSE,FALSE,missing features
C-8a3bc6,A-3b37d9,10/13/2024,support,0,FALSE,FALSE,FALSE,switched to competitor
C-8f9053,A-c1e51e,11/9/2024,pricing,0,FALSE,FALSE,FALSE,missing features
C-7690f5,A-4c56c9,4/5/2024,budget,44.23,TRUE,FALSE,FALSE,missing features
C-fb91f8,A-96bbc6,6/24/2024,competitor,0,TRUE,FALSE,TRUE,
C-02604c,A-9208f0,11/9/2024,features,0,FALSE,FALSE,TRUE,too expensive
C-85e84b,A-4814a3,11/25/2024,pricing,0,FALSE,FALSE,FALSE,too expensive
C-df72bb,A-dcc2f0,4/10/2024,features,0,TRUE,FALSE,FALSE,
C-a41660,A-3cc791,10/9/2024,features,0,FALSE,FALSE,TRUE,
C-3e764b,A-d792a6,9/11/2023,competitor,0,FALSE,FALSE,FALSE,too expensive
C-f46a9e,A-6e7827,4/9/2024,features,0,FALSE,FALSE,FALSE,missing features
C-864f6f,A-e19ff6,1/8/2024,pricing,0,FALSE,TRUE,FALSE,switched to competitor
C-2cec1c,A-712f1c,10/24/2024,budget,68.99,FALSE,FALSE,FALSE,
C-bc2761,A-68f37c,2/8/2024,competitor,0,FALSE,FALSE,FALSE,too expensive
C-c82861,A-e351e1,10/24/2024,budget,0,FALSE,FALSE,FALSE,switched to competitor
C-7e1bbd,A-0a62f5,12/18/2024,budget,0,TRUE,FALSE,FALSE,switched to competitor
C-6cbc28,A-09316c,12/5/2024,unknown,0,FALSE,FALSE,FALSE,switched to competitor
C-13f833,A-4d1e75,9/5/2024,budget,0,FALSE,FALSE,FALSE,missing features
C-499165,A-8ae3fc,8/10/2024,budget,0,FALSE,FALSE,FALSE,
C-5d5768,A-bb1eaa,8/15/2024,pricing,0,FALSE,TRUE,FALSE,too expensive
C-8ab44a,A-c58f49,8/27/2024,competitor,0,TRUE,TRUE,FALSE,too expensive
C-575802,A-67be94,6/30/2024,competitor,13.72,FALSE,FALSE,FALSE,too expensive
C-b38b8a,A-cdf020,12/8/2023,budget,105.26,FALSE,FALSE,FALSE,too expensive
C-e601dc,A-aa9511,10/17/2023,competitor,0,FALSE,FALSE,FALSE,
C-bc805f,A-50bb9f,9/8/2024,unknown,0,FALSE,FALSE,FALSE,too expensive
C-8d2bf5,A-b9eed8,4/23/2024,pricing,0,TRUE,FALSE,TRUE,switched to competitor
C-ae25d5,A-149a69,12/4/2024,pricing,0,TRUE,FALSE,FALSE,
C-d20b00,A-4ef964,6/19/2024,budget,0,TRUE,FALSE,FALSE,too expensive
C-0baa74,A-558c72,11/28/2024,support,43.01,FALSE,FALSE,FALSE,switched to competitor
C-7762fe,A-54ecc2,9/12/2024,unknown,0,TRUE,FALSE,FALSE,missing features
C-70ab02,A-3b5cd1,1/21/2024,pricing,0,TRUE,FALSE,FALSE,missing features
C-4c2a9f,A-ff3c73,12/9/2023,competitor,0,TRUE,FALSE,FALSE,missing features
C-5b6094,A-296d7c,11/4/2024,budget,0,FALSE,FALSE,FALSE,too expensive
C-c5e093,A-c16101,11/13/2024,features,0,FALSE,FALSE,TRUE,too expensive
C-94eebe,A-9779ad,4/17/2024,unknown,0,TRUE,FALSE,FALSE,switched to competitor
C-65ad11,A-39ddf4,12/13/2024,support,0,FALSE,FALSE,FALSE,
C-ebc01c,A-bd4513,12/7/2024,features,0,FALSE,TRUE,FALSE,switched to competitor
C-ae15f4,A-3793ee,6/16/2023,unknown,0,FALSE,FALSE,FALSE,
C-26576c,A-dbc825,1/14/2024,features,0,FALSE,FALSE,FALSE,too expensive
C-f6fba0,A-f92792,11/3/2024,features,0,FALSE,FALSE,TRUE,
C-cfa54b,A-eb7c38,3/22/2024,budget,6.26,FALSE,TRUE,FALSE,
C-260dec,A-202b67,9/14/2024,pricing,9.28,FALSE,FALSE,FALSE,
C-947b6b,A-5a3eb9,4/28/2024,pricing,0,FALSE,FALSE,FALSE,missing features
C-0af764,A-ccabf0,5/5/2024,competitor,0,TRUE,FALSE,FALSE,too expensive
C-e91da6,A-2d4502,5/7/2024,pricing,0,TRUE,FALSE,FALSE,
C-2d8e22,A-fce879,10/7/2024,support,0,FALSE,FALSE,FALSE,switched to competitor
C-47694c,A-0cc442,10/23/2024,budget,59.52,FALSE,FALSE,FALSE,
C-b6549a,A-151c9a,11/4/2023,support,35.6,FALSE,FALSE,FALSE,missing features
C-258ade,A-5f2961,11/28/2024,pricing,6.6,FALSE,FALSE,FALSE,switched to competitor
C-8eda06,A-a865bd,3/18/2024,unknown,0,FALSE,FALSE,FALSE,
C-07be44,A-751c58,11/5/2024,budget,0,FALSE,FALSE,TRUE,missing features
C-62daa0,A-b2225d,3/31/2024,pricing,0,FALSE,FALSE,FALSE,too expensive
C-7d6220,A-2edab2,6/23/2024,features,0,FALSE,FALSE,FALSE,too expensive
C-a65f7c,A-098560,5/30/2024,support,34.35,FALSE,FALSE,FALSE,too expensive
C-02a354,A-ccb686,11/24/2024,competitor,25.92,FALSE,FALSE,FALSE,
C-5f43c3,A-db5e9e,12/29/2024,pricing,0,FALSE,FALSE,FALSE,missing features
C-36a955,A-96bbc6,12/4/2024,competitor,0,TRUE,FALSE,FALSE,switched to competitor
C-7074f9,A-dcc3f1,7/16/2024,support,0,FALSE,FALSE,FALSE,too expensive
C-7befdc,A-9779ad,8/11/2024,features,0,FALSE,FALSE,FALSE,too expensive
C-a72f7f,A-158f4e,3/5/2023,budget,0,FALSE,FALSE,FALSE,switched to competitor
C-065699,A-c16cf7,12/7/2024,support,0,FALSE,FALSE,FALSE,too expensive
C-17044c,A-bcf664,10/4/2024,features,75.32,FALSE,FALSE,TRUE,too expensive
C-d716da,A-96bbc6,12/21/2024,budget,125.6,FALSE,FALSE,FALSE,missing features
C-dd2ad2,A-30b4ca,9/1/2024,features,0,FALSE,FALSE,FALSE,
C-2c410a,A-712426,12/23/2024,features,0,TRUE,FALSE,TRUE,missing features
C-5f93ed,A-337bc1,12/16/2023,unknown,0,FALSE,FALSE,FALSE,missing features
C-f79e5e,A-7dacce,9/18/2024,unknown,0,FALSE,FALSE,FALSE,switched to competitor
C-c9b84b,A-158f4e,12/4/2024,features,0,FALSE,FALSE,FALSE,
C-aee993,A-1d5444,6/1/2024,support,0,FALSE,FALSE,FALSE,too expensive
C-cc8de6,A-526d93,9/25/2024,support,0,TRUE,FALSE,FALSE,missing features
C-f1773a,A-68f37c,5/15/2024,support,0,TRUE,FALSE,FALSE,switched to competitor
C-fe3853,A-f51f16,12/7/2024,competitor,0,TRUE,TRUE,FALSE,too expensive
C-770066,A-84ebe4,1/5/2024,budget,0,FALSE,FALSE,FALSE,switched to competitor
C-449318,A-5a184f,7/23/2023,features,0,FALSE,FALSE,FALSE,too expensive
C-e2ecb7,A-e7a1e2,12/11/2024,features,0,FALSE,FALSE,FALSE,
C-211191,A-781cc0,10/12/2024,support,0,TRUE,FALSE,FALSE,
C-55f4ec,A-0cc442,7/20/2024,pricing,0,FALSE,FALSE,FALSE,too expensive
C-695fcd,A-2e4581,11/23/2024,budget,0,FALSE,FALSE,FALSE,switched to competitor
C-921335,A-659280,7/23/2024,features,0,FALSE,FALSE,FALSE,too expensive
C-9776b7,A-40a557,12/8/2023,budget,0,FALSE,FALSE,FALSE,switched to competitor
C-b3d895,A-0a62f5,12/27/2024,support,43.6,FALSE,FALSE,FALSE,too expensive
C-1965c1,A-9f9299,10/8/2024,competitor,0,FALSE,FALSE,FALSE,
C-0ec68d,A-e83938,2/19/2024,features,0,FALSE,FALSE,FALSE,too expensive
C-08d3b3,A-3f9cc0,12/21/2024,budget,0,FALSE,FALSE,TRUE,switched to competitor
C-466a70,A-ee42db,6/23/2023,pricing,0,TRUE,FALSE,FALSE,too expensive
C-02f4fa,A-ae052e,11/13/2024,unknown,0,FALSE,FALSE,FALSE,too expensive
C-ac34ca,A-ab438f,12/2/2024,budget,0,TRUE,TRUE,FALSE,
C-92f5cb,A-90a8c8,8/29/2024,support,0,FALSE,FALSE,FALSE,missing features
C-08b126,A-0cc442,9/26/2024,budget,0,TRUE,FALSE,TRUE,too expensive
C-9cc7a5,A-8e47ca,9/18/2024,competitor,0,FALSE,FALSE,FALSE,too expensive
C-c5b2e8,A-c608c8,6/4/2024,support,0,FALSE,FALSE,FALSE,too expensive
C-be8018,A-684255,7/3/2024,unknown,0,FALSE,FALSE,FALSE,too expensive
C-23ca8f,A-d77f4c,10/3/2024,unknown,0,FALSE,TRUE,FALSE,
C-2d0569,A-c7ffc2,11/11/2023,features,174.92,FALSE,FALSE,FALSE,missing features
C-4c523f,A-05d3b3,3/12/2024,unknown,0,FALSE,FALSE,FALSE,switched to competitor
C-57a768,A-702032,4/18/2024,features,10.5,FALSE,FALSE,FALSE,switched to competitor
C-573a5c,A-dec005,11/23/2024,support,0,FALSE,FALSE,FALSE,missing features
C-b7dfcd,A-726cfa,8/8/2024,support,122.11,FALSE,FALSE,FALSE,too expensive
C-8c9a9a,A-9f0b68,8/10/2024,features,0,TRUE,FALSE,FALSE,too expensive
C-2ce12e,A-712426,11/26/2024,pricing,0,FALSE,FALSE,TRUE,
C-18b303,A-7641d3,6/7/2024,unknown,96.35,FALSE,FALSE,FALSE,missing features
C-b6bc5f,A-bb1486,11/23/2024,competitor,0,FALSE,TRUE,TRUE,switched to competitor
C-8cce4c,A-fa3095,12/23/2023,support,0,FALSE,FALSE,FALSE,missing features
C-8fcdf5,A-310452,12/27/2024,budget,0,FALSE,FALSE,FALSE,too expensive
C-ddade1,A-463db0,12/30/2024,features,0,FALSE,FALSE,TRUE,
C-5689de,A-00bed1,1/3/2024,unknown,21.17,FALSE,FALSE,FALSE,
C-2f61e8,A-ad3abd,7/12/2023,competitor,0,FALSE,FALSE,FALSE,
C-4dc992,A-39b19f,3/11/2023,unknown,0,FALSE,FALSE,FALSE,
C-17fb24,A-cc1d8d,12/19/2024,unknown,217.22,FALSE,FALSE,FALSE,too expensive
C-21efb6,A-fa2041,7/13/2024,competitor,0,FALSE,FALSE,FALSE,switched to competitor
C-486194,A-2ebb4b,12/29/2024,features,0,TRUE,FALSE,TRUE,missing features
C-3091b6,A-eb1312,10/3/2024,unknown,0,FALSE,FALSE,FALSE,
C-b37401,A-dfbd31,12/19/2024,unknown,0,FALSE,FALSE,FALSE,too expensive
C-c93006,A-4e0e85,11/16/2023,competitor,0,FALSE,TRUE,FALSE,too expensive
C-cea92d,A-2e4581,12/5/2024,competitor,0,TRUE,FALSE,FALSE,
C-f7846a,A-117171,10/13/2024,budget,0,FALSE,FALSE,FALSE,switched to competitor
C-f5a863,A-e7a1e2,9/30/2024,budget,6.2,FALSE,FALSE,TRUE,
C-056c32,A-1e6fc3,3/20/2024,pricing,0,FALSE,FALSE,FALSE,switched to competitor
C-75abb3,A-ac9111,6/25/2024,budget,0,TRUE,FALSE,FALSE,missing features
C-17377e,A-ee42db,3/7/2024,pricing,0,FALSE,FALSE,FALSE,missing features
C-d84a6d,A-a45270,11/12/2024,pricing,0,FALSE,FALSE,FALSE,missing features
C-66b3fa,A-378b99,10/12/2024,pricing,0,FALSE,FALSE,FALSE,switched to competitor
C-600a7c,A-9ee962,10/3/2024,support,0,FALSE,TRUE,FALSE,
C-7aa94d,A-038089,12/25/2024,features,19.34,FALSE,FALSE,FALSE,too expensive
C-c6a403,A-684255,5/4/2024,budget,0,FALSE,FALSE,TRUE,missing features
C-d3e2ab,A-f1f639,10/18/2023,competitor,0,FALSE,FALSE,TRUE,missing features
C-b3c3ce,A-9f2731,10/15/2024,features,0,FALSE,FALSE,FALSE,
C-d7de9d,A-8b0451,12/29/2024,budget,0,FALSE,FALSE,FALSE,too expensive
C-2447b3,A-c45b23,3/24/2024,support,0,FALSE,FALSE,TRUE,missing features
C-155feb,A-82861f,5/17/2024,support,0,FALSE,FALSE,FALSE,
C-5f450a,A-c1e51e,12/20/2024,support,0,FALSE,FALSE,FALSE,switched to competitor
C-721738,A-d42431,6/26/2024,pricing,0,FALSE,FALSE,FALSE,missing features
C-33fc6a,A-c16101,12/19/2024,features,0,FALSE,TRUE,FALSE,
C-4691eb,A-7c83a1,5/19/2024,unknown,0,TRUE,FALSE,FALSE,
C-2cec7e,A-ce550d,12/28/2024,budget,0,TRUE,FALSE,FALSE,too expensive
C-71ff03,A-f19409,5/25/2023,features,0,FALSE,TRUE,FALSE,too expensive
C-2a64c7,A-029f69,6/17/2024,budget,0,FALSE,FALSE,FALSE,
C-5899b9,A-484819,6/29/2023,support,0,TRUE,FALSE,FALSE,
C-7e5a22,A-6965e1,12/9/2024,features,0,FALSE,FALSE,FALSE,
C-c3815e,A-6965e1,12/4/2024,unknown,0,FALSE,FALSE,FALSE,switched to competitor
